msgs,sentiments
Can you help me with my credit card rewards?,"{'label': 'NEGATIVE', 'score': 0.8585994243621826}"
I have a question about my recent transactions.,"{'label': 'NEGATIVE', 'score': 0.8892908096313477}"
How can I set up e-statements?,"{'label': 'NEGATIVE', 'score': 0.999462902545929}"
I lost my checkbook. What should I do?,"{'label': 'NEGATIVE', 'score': 0.999687671661377}"
Is there a branch nearby I can visit?,"{'label': 'NEGATIVE', 'score': 0.863028883934021}"
Im having trouble with my debit card.,"{'label': 'NEGATIVE', 'score': 0.9994124174118042}"
Can you explain overdraft protection?,"{'label': 'NEGATIVE', 'score': 0.9903653264045715}"
I need assistance with a foreign currency exchange.,"{'label': 'NEGATIVE', 'score': 0.9982050657272339}"
Can you provide information on investment options?,"{'label': 'NEGATIVE', 'score': 0.987471878528595}"
Id like to request a credit limit increase.,"{'label': 'NEGATIVE', 'score': 0.9867673516273499}"
Can you assist with changing my contact information?,"{'label': 'NEGATIVE', 'score': 0.983791708946228}"
I suspect fraud on my account. What should I do?,"{'label': 'NEGATIVE', 'score': 0.9993316531181335}"
Can you explain overdraft protection?,"{'label': 'NEGATIVE', 'score': 0.9903653264045715}"
Is there a fee for using ATMs abroad?,"{'label': 'NEGATIVE', 'score': 0.9979878664016724}"
I want to set up a recurring transfer.,"{'label': 'NEGATIVE', 'score': 0.9956474900245667}"
What are the current CD rates?,"{'label': 'NEGATIVE', 'score': 0.9978160858154297}"
Can you help me with a home equity line of credit?,"{'label': 'NEGATIVE', 'score': 0.9926875829696655}"
Im locked out of my online banking account.,"{'label': 'NEGATIVE', 'score': 0.9991946816444397}"
Whats the process for applying for a credit card?,"{'label': 'NEGATIVE', 'score': 0.9964313507080078}"
Id like to update my contact information.,"{'label': 'NEGATIVE', 'score': 0.7994411587715149}"
How can you help me with my credit card rewards?,"{'label': 'NEGATIVE', 'score': 0.9937191009521484}"
Can you explain the different account fees?,"{'label': 'NEGATIVE', 'score': 0.9914202690124512}"
Can you assist with changing my contact information?,"{'label': 'NEGATIVE', 'score': 0.983791708946228}"
I suspect fraud on my account. What should I do?,"{'label': 'NEGATIVE', 'score': 0.9993316531181335}"
Id like to apply for a small business loan.,"{'label': 'NEGATIVE', 'score': 0.9758054614067078}"
I received a credit card statement. Can you clarify the charges?,"{'label': 'NEGATIVE', 'score': 0.9940432906150818}"
How can I enroll in e-statements?,"{'label': 'NEGATIVE', 'score': 0.9991907477378845}"
Can you provide information on credit counseling services?,"{'label': 'NEGATIVE', 'score': 0.9929171800613403}"
Id like to dispute a fee on my account.,"{'label': 'NEGATIVE', 'score': 0.9936162233352661}"
I want to open a custodial account for my child.,"{'label': 'NEGATIVE', 'score': 0.9923804998397827}"
